#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
1.0,1.0,0.0,1.0,1.87374,1.87374
1.0,1.0,0.0,1.0,0.78606,2.6598
1.0,1.0,0.0,1.0,0.78672,3.44652
1.0,1.0,0.0,1.0,0.78672,4.23324
1.0,1.0,0.0,1.0,0.79728,5.03052
1.0,1.0,0.0,1.0,0.77286,5.80338
1.0,1.0,0.0,1.0,0.78738,6.59076
1.0,1.0,0.0,1.0,0.78804,7.3788004
1.0,1.0,0.0,1.0,0.7887,8.1675005
1.0,1.0,0.0,1.0,0.79002,8.9575205
1.0,1.0,0.0,1.0,0.78936,9.746881
1.0,1.0,0.0,1.0,0.792,10.53888
1.0,1.0,0.0,1.0,0.792,11.33088
1.0,1.0,0.0,1.0,0.79266,12.12354
1.0,1.0,0.0,1.0,0.7953,12.91884
1.0,1.0,0.0,1.0,0.79266,13.7115
1.0,1.0,0.0,1.0,0.79332,14.50482
1.0,1.0,0.0,1.0,0.79332,15.29814
1.0,1.0,0.0,1.0,0.79134,16.08948
1.0,1.0,0.0,1.0,0.79332,16.8828
1.0,1.0,0.0,1.0,0.79398,17.676779
1.0,1.0,0.0,1.0,2.343,20.01978
1.0,1.0,0.0,1.0,0.80916,20.82894
1.0,1.0,0.0,1.0,0.7821,21.61104
1.0,1.0,0.0,1.0,0.78408,22.39512
1.0,1.0,0.0,1.0,0.78408,23.179201
1.0,1.0,0.0,1.0,0.78738,23.966581
1.0,1.0,0.0,1.0,0.78672,24.753302
1.0,1.0,0.0,1.0,0.7854,25.538702
1.0,1.0,0.0,1.0,0.78738,26.326082
1.0,1.0,0.0,1.0,0.78672,27.112803
1.0,1.0,0.0,1.0,0.78672,27.899523
1.0,1.0,0.0,1.0,0.79596,28.695482
1.0,1.0,0.0,1.0,0.77748,29.472961
1.0,1.0,0.0,1.0,0.78738,30.260342
1.0,1.0,0.0,1.0,0.78738,31.047722
1.0,1.0,0.0,1.0,0.78738,31.835102
1.0,1.0,0.0,1.0,0.79134,32.626442
1.0,1.0,0.0,1.0,0.79068,33.41712
1.0,1.0,0.0,1.0,0.79134,34.20846
1.0,1.0,0.0,1.0,0.79398,35.00244
1.0,1.0,0.0,1.0,0.79398,35.79642
1.0,1.0,0.0,1.0,0.79464,36.59106
1.0,1.0,0.0,1.0,0.7953,37.38636
1.0,1.0,0.0,1.0,0.79464,38.181
1.0,1.0,0.0,1.0,0.7953,38.9763
1.0,1.0,0.0,1.0,0.79464,39.77094
1.0,1.0,0.0,1.0,0.79266,40.5636
1.0,1.0,0.0,1.0,0.79068,41.35428
1.0,1.0,0.0,1.0,0.7887,42.14298
1.0,1.0,0.0,1.0,0.78804,42.93102
1.0,1.0,0.0,1.0,0.78804,43.71906
1.0,1.0,0.0,1.0,0.78606,44.50512
1.0,1.0,0.0,1.0,0.78474,45.28986
1.0,1.0,0.0,1.0,0.78474,46.0746
1.0,1.0,0.0,1.0,0.78474,46.85934
1.0,1.0,0.0,1.0,0.7854,47.64474
1.0,1.0,0.0,1.0,0.78606,48.4308
1.0,1.0,0.0,1.0,0.7854,49.2162
1.0,1.0,0.0,1.0,0.78474,50.000942
1.0,1.0,0.0,1.0,0.78606,50.787003
1.0,1.0,0.0,1.0,0.78408,51.571083
1.0,1.0,0.0,1.0,0.79728,52.368362
1.0,1.0,0.0,1.0,0.77154,53.139904
1.0,1.0,0.0,1.0,0.7854,53.925304
1.0,1.0,0.0,1.0,0.7887,54.714005
1.0,1.0,0.0,1.0,0.78672,55.500725
1.0,1.0,0.0,1.0,0.7887,56.289425
1.0,1.0,0.0,1.0,0.79002,57.079445
1.0,1.0,0.0,1.0,0.79002,57.869465
1.0,1.0,0.0,1.0,0.79266,58.662125
1.0,1.0,0.0,1.0,0.792,59.454124
1.0,1.0,0.0,1.0,0.79332,60.247444
1.0,1.0,0.0,1.0,0.79332,61.040764
1.0,1.0,0.0,1.0,0.79332,61.834084
1.0,1.0,0.0,1.0,0.792,62.626083
1.0,1.0,0.0,1.0,0.792,63.418083
1.0,1.0,0.0,1.0,0.792,64.21008
1.0,1.0,0.0,1.0,0.79266,65.00275
1.0,0.0,0.0,1.0,2.33838,67.341125
1.0,0.0,0.0,1.0,0.80916,68.15028
1.0,0.0,0.0,1.0,0.78012,68.930405
1.0,0.0,0.0,1.0,0.7821,69.7125
1.0,0.0,0.0,1.0,0.78342,70.49592
1.0,0.0,0.0,1.0,0.78474,71.280655
1.0,0.0,0.0,1.0,0.78606,72.06671
1.0,0.0,0.0,1.0,0.78474,72.85145
1.0,0.0,0.0,1.0,0.7854,73.63685
1.0,0.0,0.0,1.0,0.78606,74.422905
1.0,0.0,0.0,1.0,0.7854,75.208305
0.0,1.0,1.0,1.0,0.561,75.7693
1.0,1.0,0.0,1.0,0.2343,76.0036
1.0,1.0,0.0,1.0,0.77682,76.78042
1.0,1.0,0.0,1.0,0.7854,77.56582
1.0,1.0,0.0,1.0,0.78606,78.351875
1.0,1.0,0.0,1.0,0.78606,79.13793
1.0,1.0,0.0,1.0,0.79002,79.92795
1.0,1.0,0.0,1.0,0.79002,80.71797
1.0,1.0,0.0,1.0,0.7887,81.50667
1.0,1.0,0.0,1.0,0.792,82.29867
1.0,1.0,0.0,1.0,0.79266,83.09133
1.0,1.0,0.0,1.0,0.792,83.88333
1.0,1.0,0.0,1.0,0.79398,84.677315
1.0,1.0,0.0,1.0,0.79332,85.470634
1.0,1.0,0.0,1.0,0.79332,86.263954
1.0,1.0,0.0,1.0,0.79464,87.05859
1.0,1.0,0.0,1.0,0.79134,87.84994
1.0,1.0,0.0,1.0,0.79002,88.63995
1.0,1.0,0.0,1.0,0.7887,89.42865
1.0,1.0,0.0,1.0,0.78804,90.21669
1.0,1.0,0.0,1.0,0.78672,91.00341
1.0,1.0,0.0,1.0,0.78606,91.78947
1.0,1.0,0.0,1.0,0.7854,92.57487
1.0,1.0,0.0,1.0,0.78408,93.35895
1.0,1.0,0.0,1.0,0.78474,94.143684
1.0,1.0,0.0,1.0,0.7854,94.929085
1.0,1.0,0.0,1.0,0.7854,95.714485
1.0,1.0,0.0,1.0,0.7854,96.499886
1.0,1.0,0.0,1.0,0.78474,97.28462
1.0,1.0,0.0,1.0,0.7854,98.07002
1.0,1.0,0.0,1.0,0.7854,98.85542
1.0,1.0,0.0,1.0,0.79596,99.65138
1.0,1.0,0.0,1.0,0.77286,100.42424
1.0,1.0,0.0,1.0,0.78606,101.2103
1.0,1.0,0.0,1.0,0.78804,101.99834
1.0,1.0,0.0,1.0,0.7887,102.78703
1.0,1.0,0.0,1.0,0.7887,103.57573
1.0,1.0,0.0,1.0,0.79002,104.36575
1.0,1.0,0.0,1.0,0.79134,105.1571
1.0,1.0,0.0,1.0,0.79266,105.94976
1.0,1.0,0.0,1.0,0.79332,106.74308
1.0,1.0,0.0,1.0,0.79398,107.53706
1.0,1.0,0.0,1.0,0.79332,108.33038
1.0,1.0,0.0,1.0,0.79332,109.1237
1.0,1.0,0.0,1.0,0.79134,109.91505
1.0,1.0,0.0,1.0,0.79002,110.70506
1.0,1.0,0.0,1.0,0.79068,111.49574
1.0,1.0,0.0,1.0,0.79068,112.28642
1.0,1.0,0.0,1.0,2.33178,114.6182
1.0,1.0,0.0,1.0,0.80652,115.42472
1.0,1.0,0.0,1.0,0.7788,116.20352
1.0,1.0,0.0,1.0,0.78078,116.9843
1.0,1.0,0.0,1.0,0.7821,117.766396
1.0,1.0,0.0,1.0,0.78408,118.550476
1.0,1.0,0.0,1.0,0.78408,119.33456
1.0,1.0,0.0,1.0,0.78474,120.11929
1.0,1.0,0.0,1.0,0.78408,120.90337
1.0,1.0,0.0,1.0,0.7854,121.688774
1.0,1.0,0.0,1.0,0.7854,122.474174
1.0,1.0,0.0,1.0,0.79398,123.26816
1.0,1.0,0.0,1.0,0.77616,124.04432
1.0,1.0,0.0,1.0,0.7854,124.82972
1.0,1.0,0.0,1.0,0.7854,125.61512
1.0,1.0,0.0,1.0,0.78606,126.40118
1.0,1.0,0.0,1.0,0.7887,127.18987
1.0,1.0,0.0,1.0,0.78936,127.97923
1.0,1.0,0.0,1.0,0.78936,128.76859
1.0,1.0,0.0,1.0,0.79134,129.55992
1.0,1.0,0.0,1.0,0.79266,130.35258
1.0,1.0,0.0,1.0,0.792,131.14459
1.0,1.0,0.0,1.0,0.79266,131.93726
1.0,1.0,0.0,1.0,0.79332,132.73058
1.0,1.0,0.0,1.0,0.79266,133.52324
1.0,1.0,0.0,1.0,0.79332,134.31656
1.0,1.0,0.0,1.0,0.79134,135.1079
1.0,1.0,0.0,1.0,0.78936,135.89725
1.0,1.0,0.0,1.0,0.78804,136.68529
1.0,1.0,0.0,1.0,0.78804,137.47333
1.0,1.0,0.0,1.0,0.78672,138.26004
1.0,1.0,0.0,1.0,0.7854,139.04544
1.0,1.0,0.0,1.0,0.7854,139.83084
1.0,1.0,0.0,1.0,0.78408,140.61491
1.0,1.0,0.0,1.0,0.78342,141.39833
1.0,1.0,0.0,1.0,0.78606,142.18439
1.0,1.0,0.0,1.0,0.78408,142.96846
1.0,1.0,0.0,1.0,0.7854,143.75386
1.0,1.0,0.0,1.0,0.78408,144.53793
1.0,1.0,0.0,1.0,0.7854,145.32333
1.0,1.0,0.0,1.0,0.78474,146.10808
1.0,1.0,0.0,1.0,0.79464,146.90273
1.0,1.0,0.0,1.0,0.77154,147.67427
1.0,1.0,0.0,1.0,0.78606,148.46033
1.0,1.0,0.0,1.0,0.78672,149.24704
1.0,1.0,0.0,1.0,0.78738,150.03442
1.0,1.0,0.0,1.0,0.78804,150.82246
1.0,1.0,0.0,1.0,0.78936,151.61182
1.0,1.0,0.0,1.0,0.79002,152.40184
1.0,1.0,0.0,1.0,0.79134,153.19318
1.0,1.0,0.0,1.0,0.79134,153.98451
1.0,1.0,0.0,1.0,0.79266,154.77718
1.0,1.0,0.0,1.0,0.79134,155.56851
1.0,1.0,0.0,1.0,0.792,156.36052
1.0,1.0,0.0,1.0,0.79068,157.1512
1.0,1.0,0.0,1.0,0.78936,157.94055
1.0,1.0,0.0,1.0,0.79068,158.73123
1.0,1.0,0.0,1.0,0.79068,159.52191
1.0,0.0,0.0,1.0,2.33178,161.8537
1.0,0.0,0.0,1.0,0.80652,162.66022
1.0,0.0,0.0,1.0,0.7788,163.43901
1.0,0.0,0.0,1.0,0.78078,164.21979
1.0,0.0,0.0,1.0,0.78144,165.00122
1.0,0.0,0.0,1.0,0.78408,165.7853
1.0,0.0,0.0,1.0,0.78408,166.56937
1.0,0.0,0.0,1.0,0.78342,167.35278
1.0,0.0,0.0,1.0,0.78408,168.13686
1.0,0.0,0.0,1.0,0.78474,168.9216
1.0,0.0,0.0,1.0,0.78408,169.70567
0.0,1.0,1.0,1.0,0.54714,170.2528
1.0,1.0,0.0,1.0,0.24618,170.499
1.0,1.0,0.0,1.0,0.7755,171.27449
1.0,1.0,0.0,1.0,0.78474,172.05923
1.0,1.0,0.0,1.0,0.78408,172.8433
1.0,1.0,0.0,1.0,0.78474,173.62805
1.0,1.0,0.0,1.0,0.7887,174.41675
1.0,1.0,0.0,1.0,0.78738,175.20413
1.0,1.0,0.0,1.0,0.78804,175.99217
1.0,1.0,0.0,1.0,0.79002,176.7822
1.0,1.0,0.0,1.0,0.79002,177.57222
1.0,1.0,0.0,1.0,0.792,178.36423
1.0,1.0,0.0,1.0,0.79134,179.15556
1.0,1.0,0.0,1.0,0.792,179.94757
1.0,1.0,0.0,1.0,0.79332,180.74089
1.0,1.0,0.0,1.0,0.79332,181.53421
1.0,1.0,0.0,1.0,0.792,182.32622
1.0,1.0,0.0,1.0,0.792,183.11823
1.0,1.0,0.0,1.0,0.79068,183.9089
1.0,1.0,0.0,1.0,0.79068,184.69958
1.0,1.0,0.0,1.0,0.79002,185.48961
1.0,1.0,0.0,1.0,0.7887,186.2783
1.0,1.0,0.0,1.0,0.78804,187.06635
1.0,1.0,0.0,1.0,0.78804,187.85439
1.0,1.0,0.0,1.0,0.78606,188.64044
1.0,1.0,0.0,1.0,0.7887,189.42914
1.0,1.0,0.0,1.0,0.78738,190.21652
1.0,1.0,0.0,1.0,0.78738,191.0039
1.0,1.0,0.0,1.0,0.78672,191.79062
1.0,1.0,0.0,1.0,0.78738,192.578
1.0,1.0,0.0,1.0,0.78672,193.36472
1.0,1.0,0.0,1.0,0.7986,194.16331
1.0,1.0,0.0,1.0,0.77352,194.93683
1.0,1.0,0.0,1.0,0.78738,195.72421
1.0,1.0,0.0,1.0,0.79002,196.51424
1.0,1.0,0.0,1.0,0.7887,197.30293
1.0,1.0,0.0,1.0,0.79134,198.09427
1.0,1.0,0.0,1.0,0.79134,198.8856
1.0,1.0,0.0,1.0,0.79266,199.67827
1.0,1.0,0.0,1.0,0.79398,200.47224
1.0,1.0,0.0,1.0,0.79464,201.26689
1.0,1.0,0.0,1.0,0.79596,202.06285
1.0,1.0,0.0,1.0,0.79464,202.8575
1.0,1.0,0.0,1.0,0.79464,203.65215
1.0,1.0,0.0,1.0,0.792,204.44415
1.0,1.0,0.0,1.0,0.79002,205.23418
1.0,1.0,0.0,1.0,0.79002,206.0242
1.0,1.0,0.0,1.0,0.79002,206.81422
1.0,1.0,0.0,1.0,2.33178,209.14601
1.0,1.0,0.0,1.0,0.80718,209.95319
1.0,1.0,0.0,1.0,0.7788,210.73198
1.0,1.0,0.0,1.0,0.78144,211.51341
1.0,1.0,0.0,1.0,0.78342,212.29683
1.0,1.0,0.0,1.0,0.78408,213.0809
1.0,1.0,0.0,1.0,0.78606,213.86696
1.0,1.0,0.0,1.0,0.78474,214.6517
1.0,1.0,0.0,1.0,0.7854,215.4371
1.0,1.0,0.0,1.0,0.78606,216.22316
1.0,1.0,0.0,1.0,0.7854,217.00856
1.0,1.0,0.0,1.0,0.79464,217.8032
1.0,1.0,0.0,1.0,0.77682,218.58003
1.0,1.0,0.0,1.0,0.7854,219.36543
1.0,1.0,0.0,1.0,0.7854,220.15083
1.0,1.0,0.0,1.0,0.78606,220.93689
1.0,1.0,0.0,1.0,0.78936,221.72624
1.0,1.0,0.0,1.0,0.78936,222.5156
1.0,1.0,0.0,1.0,0.78936,223.30495
1.0,1.0,0.0,1.0,0.792,224.09695
1.0,1.0,0.0,1.0,0.79266,224.88962
1.0,1.0,0.0,1.0,0.79266,225.68228
1.0,1.0,0.0,1.0,0.79332,226.4756
1.0,1.0,0.0,1.0,0.79266,227.26826
1.0,1.0,0.0,1.0,0.792,228.06027
1.0,1.0,0.0,1.0,0.79068,228.85095
1.0,1.0,0.0,1.0,0.78804,229.63899
1.0,1.0,0.0,1.0,0.7854,230.4244
1.0,1.0,0.0,1.0,0.78408,231.20847
1.0,1.0,0.0,1.0,0.78408,231.99254
1.0,1.0,0.0,1.0,0.7821,232.77464
1.0,1.0,0.0,1.0,0.7821,233.55675
1.0,1.0,0.0,1.0,0.78078,234.33752
1.0,1.0,0.0,1.0,0.78078,235.1183
1.0,1.0,0.0,1.0,0.78078,235.89908
1.0,1.0,0.0,1.0,0.78144,236.68051
1.0,1.0,0.0,1.0,0.78144,237.46194
1.0,1.0,0.0,1.0,0.78144,238.24338
1.0,1.0,0.0,1.0,0.78012,239.0235
1.0,1.0,0.0,1.0,0.7821,239.8056
1.0,1.0,0.0,1.0,0.78012,240.58572
1.0,1.0,0.0,1.0,0.79134,241.37706
1.0,1.0,0.0,1.0,0.7689,242.14597
1.0,1.0,0.0,1.0,0.78144,242.9274
1.0,1.0,0.0,1.0,0.78408,243.71147
1.0,1.0,0.0,1.0,0.78342,244.49489
1.0,1.0,0.0,1.0,0.78474,245.27963
1.0,1.0,0.0,1.0,0.78606,246.06569
1.0,1.0,0.0,1.0,0.78672,246.8524
1.0,1.0,0.0,1.0,0.78804,247.64044
1.0,1.0,0.0,1.0,0.78936,248.4298
1.0,1.0,0.0,1.0,0.79002,249.21982
1.0,1.0,0.0,1.0,0.7887,250.00851
1.0,1.0,0.0,1.0,0.7887,250.79721
1.0,1.0,0.0,1.0,0.78672,251.58392
1.0,1.0,0.0,1.0,0.78474,252.36867
1.0,1.0,0.0,1.0,0.78606,253.15472
1.0,1.0,0.0,1.0,0.7854,253.94012
1.0,0.0,0.0,1.0,2.31726,256.2574
1.0,0.0,0.0,1.0,0.80322,257.0606
1.0,0.0,0.0,1.0,0.77418,257.83478
1.0,0.0,0.0,1.0,0.77616,258.61093
1.0,0.0,0.0,1.0,0.77814,259.38907
1.0,0.0,0.0,1.0,0.77946,260.16852
1.0,0.0,0.0,1.0,0.77946,260.94797
1.0,0.0,0.0,1.0,0.78012,261.7281
1.0,0.0,0.0,1.0,0.78012,262.5082
1.0,0.0,0.0,1.0,0.78078,263.289
1.0,0.0,0.0,1.0,0.78078,264.0698
0.0,1.0,1.0,1.0,0.54318,264.61298
1.0,1.0,0.0,1.0,0.24552,264.8585
1.0,1.0,0.0,1.0,0.77286,265.63135
1.0,1.0,0.0,1.0,0.78012,266.41147
1.0,1.0,0.0,1.0,0.78078,267.19226
1.0,1.0,0.0,1.0,0.78144,267.9737
1.0,1.0,0.0,1.0,0.78408,268.75778
1.0,1.0,0.0,1.0,0.78474,269.5425
1.0,1.0,0.0,1.0,0.78408,270.3266
1.0,1.0,0.0,1.0,0.78606,271.11267
1.0,1.0,0.0,1.0,0.78738,271.90005
1.0,1.0,0.0,1.0,0.78672,272.68677
1.0,1.0,0.0,1.0,0.78738,273.47415
1.0,1.0,0.0,1.0,0.78804,274.26218
1.0,1.0,0.0,1.0,0.78738,275.04956
1.0,1.0,0.0,1.0,0.78672,275.83627
1.0,1.0,0.0,1.0,0.78474,276.621
