#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
ToothTime,Time
ms,ms
0.86856,0.86856
0.86526,1.73382
0.86592,2.59974
0.86592,3.46566
0.8646,4.3302603
0.8646,5.1948605
0.86394,6.0588007
0.86328,6.9220805
0.86328,7.7853603
0.87648,8.66184
0.8481,9.50994
0.8646,10.37454
0.86658,11.24112
0.8679,12.10902
0.86922,12.97824
0.86988,13.84812
0.87318,14.7213
0.87384,15.59514
0.8745,16.46964
0.87516,17.3448
0.87318,18.217981
0.87516,19.093142
0.87384,19.966982
0.87384,20.840822
0.87582,21.716642
0.87648,22.593122
2.5905,25.183622
0.8811,26.064722
0.85734,26.922062
0.85734,27.779402
0.858,28.637402
0.85932,29.496721
0.858,30.354721
0.85668,31.211401
0.858,32.0694
0.85668,32.926083
0.85734,33.783424
0.8679,34.651325
0.84612,35.497444
0.85866,36.356106
0.858,37.214108
0.85932,38.07343
0.86328,38.93671
0.86328,39.79999
0.86394,40.663933
0.86724,41.531174
0.86658,42.397755
0.86856,43.266315
0.86724,44.133556
0.86856,45.002117
0.86922,45.871338
0.87054,46.74188
0.86922,47.6111
0.86922,48.48032
0.86922,49.34954
0.86856,50.2181
0.8679,51.086002
0.86526,51.951263
0.86394,52.815205
0.86196,53.677166
0.85998,54.537148
0.8613,55.39845
0.85998,56.25843
0.85932,57.117752
0.85866,57.976414
0.858,58.834415
0.85734,59.691757
0.8712,60.562958
0.8415,61.404457
0.85998,62.26444
0.8613,63.12574
0.8613,63.98704
0.86526,64.8523
0.86526,65.71756
0.86658,66.58414
0.86988,67.45402
0.86922,68.323235
0.87054,69.19377
0.86922,70.06299
0.87054,70.933525
0.86988,71.803406
0.87054,72.67394
0.87318,73.54712
0.87516,74.42228
2.59512,77.0174
0.88506,77.902466
0.85998,78.76244
0.8613,79.62374
0.8613,80.48504
0.86064,81.34568
0.86064,82.20632
0.85932,83.06564
0.85866,83.9243
0.85932,84.78362
0.85866,85.64228
0.86988,86.51216
0.8481,87.36026
0.85998,88.22024
0.8613,89.081535
0.86196,89.9435
0.86526,90.808754
0.86658,91.67533
0.86592,92.54125
0.86988,93.41113
0.86922,94.28035
0.86922,95.14957
0.87054,96.0201
0.86988,96.889984
0.86988,97.759865
0.87186,98.63172
0.86988,99.5016
0.86922,100.37082
0.86856,101.23938
0.8679,102.10728
0.86658,102.973854
0.86394,103.83779
0.86262,104.70041
0.85998,105.56039
0.85998,106.420364
0.85932,107.279686
0.85932,108.13901
0.85866,108.997665
0.85734,109.855
0.858,110.713005
0.85668,111.56969
0.87054,112.44022
0.84216,113.28239
0.858,114.14039
0.8613,115.001686
0.8613,115.86298
0.86328,116.726265
0.86526,117.59152
0.86658,118.4581
0.8679,119.326
0.86922,120.19521
0.86922,121.06443
0.8679,121.93233
0.86988,122.80221
0.86856,123.67077
0.86922,124.539986
0.8712,125.41119
0.87252,126.28371
2.58654,128.87024
0.88242,129.75266
0.85734,130.61
0.85668,131.46667
0.85932,132.32599
0.858,133.18399
0.858,134.04199
0.85734,134.89934
0.85602,135.75536
0.85734,136.6127
0.85668,137.46938
0.86724,138.33661
