//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-11-2015
//--  Time: 15:40
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 20(C), 	Resistance 1: 2500 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 90(C), 	Resistance 3: 230 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.005
2	180.00	1800 	0.010
3	180.00	1800 	0.015
4	180.00	1800 	0.020
5	180.00	1800 	0.024
6	180.00	1800 	0.029
7	180.00	1800 	0.034
8	180.00	1800 	0.039
9	180.00	1800 	0.044
10	180.00	1800 	0.049
11	180.00	1800 	0.054
12	180.00	1800 	0.059
13	349.64	3496 	0.063
14	342.43	3424 	0.068
15	335.81	3358 	0.073
16	329.71	3297 	0.078
17	324.06	3241 	0.083
18	318.80	3188 	0.088
19	313.88	3139 	0.093
20	309.26	3093 	0.098
21	304.91	3049 	0.103
22	300.80	3008 	0.107
23	296.92	2969 	0.112
24	293.23	2932 	0.117
25	289.72	2897 	0.122
26	286.37	2864 	0.127
27	283.17	2832 	0.132
28	280.11	2801 	0.137
29	277.18	2772 	0.142
30	274.37	2744 	0.146
31	271.66	2717 	0.151
32	269.06	2691 	0.156
33	266.55	2666 	0.161
34	264.13	2641 	0.166
35	261.79	2618 	0.171
36	259.53	2595 	0.176
37	257.34	2573 	0.181
38	255.22	2552 	0.186
39	253.17	2532 	0.190
40	251.18	2512 	0.195
41	249.24	2492 	0.200
42	247.36	2474 	0.205
43	245.53	2455 	0.210
44	243.74	2437 	0.215
45	242.01	2420 	0.220
46	240.32	2403 	0.225
47	238.67	2387 	0.229
48	237.06	2371 	0.234
49	235.49	2355 	0.239
50	233.96	2340 	0.244
51	232.46	2325 	0.249
52	230.99	2310 	0.254
53	229.56	2296 	0.259
54	228.16	2282 	0.264
55	226.79	2268 	0.269
56	225.44	2254 	0.273
57	224.13	2241 	0.278
58	222.84	2228 	0.283
59	221.57	2216 	0.288
60	220.33	2203 	0.293
61	219.11	2191 	0.298
62	217.92	2179 	0.303
63	216.74	2167 	0.308
64	215.59	2156 	0.313
65	214.46	2145 	0.317
66	213.35	2133 	0.322
67	212.26	2123 	0.327
68	211.18	2112 	0.332
69	210.12	2101 	0.337
70	209.08	2091 	0.342
71	208.06	2081 	0.347
72	207.05	2071 	0.352
73	206.06	2061 	0.356
74	205.09	2051 	0.361
75	204.12	2041 	0.366
76	203.18	2032 	0.371
77	202.24	2022 	0.376
78	201.32	2013 	0.381
79	200.42	2004 	0.386
80	199.52	1995 	0.391
81	198.64	1986 	0.396
82	197.77	1978 	0.400
83	196.92	1969 	0.405
84	196.07	1961 	0.410
85	195.24	1952 	0.415
86	194.41	1944 	0.420
87	193.60	1936 	0.425
88	192.79	1928 	0.430
89	192.00	1920 	0.435
90	191.22	1912 	0.439
91	190.44	1904 	0.444
92	189.68	1897 	0.449
93	188.92	1889 	0.454
94	188.18	1882 	0.459
95	187.44	1874 	0.464
96	186.71	1867 	0.469
97	185.99	1860 	0.474
98	185.28	1853 	0.479
