//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-10-2015
//--  Time: 15:33
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using formula: 9.72 + (adcValue * 0.0096665) 
//-- Table Identifier:002

ADC 	Value 	MSVal 	volts
0	9.72	97 	0.000
1	9.73	97 	0.005
2	9.74	97 	0.010
3	9.75	97 	0.015
4	9.76	98 	0.020
5	9.77	98 	0.024
6	9.78	98 	0.029
7	9.79	98 	0.034
8	9.80	98 	0.039
9	9.81	98 	0.044
10	9.82	98 	0.049
11	9.83	98 	0.054
12	9.84	98 	0.059
13	9.85	98 	0.063
14	9.86	99 	0.068
15	9.86	99 	0.073
16	9.87	99 	0.078
17	9.88	99 	0.083
18	9.89	99 	0.088
19	9.90	99 	0.093
20	9.91	99 	0.098
21	9.92	99 	0.103
22	9.93	99 	0.107
23	9.94	99 	0.112
24	9.95	100 	0.117
25	9.96	100 	0.122
26	9.97	100 	0.127
27	9.98	100 	0.132
28	9.99	100 	0.137
29	10.00	100 	0.142
30	10.01	100 	0.146
31	10.02	100 	0.151
32	10.03	100 	0.156
33	10.04	100 	0.161
34	10.05	100 	0.166
35	10.06	101 	0.171
36	10.07	101 	0.176
37	10.08	101 	0.181
38	10.09	101 	0.186
39	10.10	101 	0.190
40	10.11	101 	0.195
41	10.12	101 	0.200
42	10.13	101 	0.205
43	10.14	101 	0.210
44	10.15	101 	0.215
45	10.15	102 	0.220
46	10.16	102 	0.225
47	10.17	102 	0.229
48	10.18	102 	0.234
49	10.19	102 	0.239
50	10.20	102 	0.244
51	10.21	102 	0.249
52	10.22	102 	0.254
53	10.23	102 	0.259
54	10.24	102 	0.264
55	10.25	103 	0.269
56	10.26	103 	0.273
57	10.27	103 	0.278
58	10.28	103 	0.283
59	10.29	103 	0.288
60	10.30	103 	0.293
61	10.31	103 	0.298
62	10.32	103 	0.303
63	10.33	103 	0.308
64	10.34	103 	0.313
65	10.35	103 	0.317
66	10.36	104 	0.322
67	10.37	104 	0.327
68	10.38	104 	0.332
69	10.39	104 	0.337
70	10.40	104 	0.342
71	10.41	104 	0.347
72	10.42	104 	0.352
73	10.43	104 	0.356
74	10.44	104 	0.361
75	10.44	104 	0.366
76	10.45	105 	0.371
77	10.46	105 	0.376
78	10.47	105 	0.381
79	10.48	105 	0.386
80	10.49	105 	0.391
81	10.50	105 	0.396
82	10.51	105 	0.400
83	10.52	105 	0.405
84	10.53	105 	0.410
85	10.54	105 	0.415
86	10.55	106 	0.420
87	10.56	106 	0.425
88	10.57	106 	0.430
89	10.58	106 	0.435
90	10.59	106 	0.439
91	10.60	106 	0.444
92	10.61	106 	0.449
93	10.62	106 	0.454
94	10.63	106 	0.459
95	10.64	106 	0.464
96	10.65	106 	0.469
97	10.66	107 	0.474
98	10.67	107 	0.479
99	10.68	107 	0.483
100	10.69	107 	0.488
101	10.70	107 	0.493
102	10.71	107 	0.498
103	10.72	107 	0.503
104	10.73	107 	0.508
105	10.73	107 	0.513
106	10.74	107 	0.518
107	10.75	108 	0.522
108	10.76	108 	0.527
109	10.77	108 	0.532
